Filename,Count < 0.50,Total Records,Processing Time (s)
sentence_160.csv,6,5967,0.072467327
sentence_89.csv,4,4896,0.047693968
sentence_1240.csv,276,2448,0.022421122
sentence_845.csv,2,3978,0.035306692
sentence_1109.csv,470,1122,0.031576633
sentence_112.csv,132,2754,0.048851013
sentence_1144.csv,192,4029,0.052742004
sentence_691.csv,0,4539,0.08578229
sentence_1816.csv,1174,3723,0.041040897
sentence_819.csv,0,3060,0.041189671
sentence_869.csv,0,4539,0.075594902
sentence_1082.csv,0,6375,0.101667166
sentence_479.csv,48,2652,0.032667875
sentence_1579.csv,74,3366,0.061278105
sentence_1649.csv,154,5304,0.081209421
sentence_314.csv,4,2091,0.064024687
sentence_952.csv,2,3876,0.052495241
sentence_1408.csv,6,3927,0.045318127
sentence_897.csv,10,4386,0.052402735
sentence_1752.csv,0,2856,0.034162045
sentence_970.csv,0,3723,0.049412966
sentence_1466.csv,112,2091,0.048702955
sentence_633.csv,0,6783,0.084522009
sentence_737.csv,746,2856,0.040474415
sentence_1780.csv,0,4692,0.050703764
sentence_1493.csv,0,2550,0.023054838
sentence_1668.csv,0,5100,0.085107327
sentence_1150.csv,0,8262,0.127908945
sentence_1689.csv,90,3264,0.035958052
sentence_1755.csv,586,3621,0.042310715
sentence_48.csv,0,2244,0.036139011
sentence_945.csv,24,2244,0.027268648
sentence_1047.csv,1176,2652,0.030314207
sentence_1182.csv,4,2244,0.026815414
sentence_1073.csv,0,5763,0.117655516
sentence_724.csv,16,5559,0.056311131
sentence_1114.csv,0,7446,0.10154438
sentence_831.csv,230,3723,0.039248228
sentence_1393.csv,352,5406,0.080706835
sentence_1186.csv,596,2652,0.044313192
sentence_1040.csv,80,4845,0.08845067
sentence_1300.csv,514,4131,0.044271469
sentence_267.csv,0,1683,0.025263071
sentence_386.csv,0,5967,0.116594315
sentence_33.csv,1374,1887,0.038382769
sentence_647.csv,84,6018,0.08627367
sentence_773.csv,0,3162,0.048719645
sentence_351.csv,0,4335,0.0501194
sentence_1365.csv,0,4590,0.087402344
sentence_218.csv,0,6834,0.132739782
sentence_142.csv,1656,5355,0.064545631
sentence_227.csv,4,3723,0.04106617
sentence_1671.csv,4,2856,0.044043303
sentence_1158.csv,0,10302,0.244864225
sentence_1103.csv,0,6885,0.083841801
sentence_1202.csv,0,4947,0.061041355
sentence_650.csv,964,3825,0.064347029
sentence_1289.csv,1168,4437,0.038822889
sentence_1411.csv,258,2499,0.015197515
sentence_1154.csv,918,2754,0.073751688
sentence_768.csv,2,2346,0.044000626
sentence_876.csv,0,6681,0.1040802
sentence_1522.csv,2,9843,0.180978775
sentence_1467.csv,1046,5610,0.078875542
sentence_1808.csv,20,3060,0.049628496
sentence_1237.csv,2132,6120,0.081609488
sentence_855.csv,0,3468,0.042412758
sentence_1786.csv,8,3111,0.040929317
sentence_513.csv,0,3264,0.055473328
sentence_684.csv,2,1479,0.017335892
sentence_956.csv,52,5253,0.067014933
sentence_1475.csv,80,5202,0.081242561
sentence_1306.csv,662,7191,0.167400599
sentence_1737.csv,0,3723,0.036562681
sentence_148.csv,246,7548,0.135038376
sentence_1337.csv,4,6936,0.118034601
sentence_430.csv,0,4998,0.045902491
sentence_1027.csv,90,6987,0.107094288
sentence_500.csv,92,3825,0.04396534
sentence_1658.csv,24,3315,0.052087307
sentence_519.csv,0,5712,0.103219032
sentence_313.csv,3032,6375,0.102443457
sentence_978.csv,8,9741,0.178014994
sentence_229.csv,0,5100,0.049711227
sentence_1701.csv,0,969,0.022531986
sentence_1439.csv,380,5151,0.071045637
sentence_281.csv,0,5355,0.093383551
sentence_943.csv,124,3570,0.043274403
sentence_1007.csv,0,7344,0.142399073
sentence_799.csv,0,3825,0.057291746
sentence_1506.csv,6,2040,0.039713144
sentence_770.csv,2,5355,0.088365555
sentence_1269.csv,352,2499,0.029360533
sentence_144.csv,0,1275,0.01376605
sentence_744.csv,128,6018,0.079550743
sentence_1265.csv,12,969,0.022013664
sentence_1256.csv,86,102,0.019403696
sentence_721.csv,14,3162,0.084243774
sentence_57.csv,1402,3825,0.044771194
sentence_639.csv,4,5508,0.074160814
sentence_604.csv,0,6222,0.070694208
sentence_646.csv,42,9027,0.110995531
sentence_1175.csv,1590,2397,0.029816151
sentence_269.csv,0,4437,0.062875509
sentence_620.csv,30,1785,0.029938936
sentence_1792.csv,22,3468,0.059103012
sentence_986.csv,4,459,0.023287535
sentence_330.csv,0,6018,0.13139534
sentence_1433.csv,64,6018,0.083174944
sentence_420.csv,64,714,0.010097742
sentence_1181.csv,66,6120,0.100679874
sentence_1259.csv,2,3213,0.031008005
sentence_1558.csv,0,4386,0.048783302
sentence_1176.csv,346,6324,0.126918793
sentence_969.csv,4,4641,0.189904213
sentence_866.csv,730,5253,0.04779768
sentence_1022.csv,30,5151,0.086780548
sentence_24.csv,2,6273,0.105998039
sentence_1797.csv,2,3978,0.056613207
sentence_1261.csv,0,6579,0.121603012
sentence_1196.csv,2,3213,0.053513765
